datetime,Symbol,Open,High,Low,Close,Volume
1833-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1834-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1835-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1836-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1837-01-02 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1838-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1841-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1842-01-03 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1843-01-02 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1844-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1846-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1847-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1848-01-03 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1849-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1852-01-01 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1853-01-03 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1854-01-02 04:49:30,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1855-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1857-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1858-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1859-01-03 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1860-01-02 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1863-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1864-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1865-01-02 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1866-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1869-01-01 04:49:22,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1870-01-03 04:17:12,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1871-01-02 04:17:12,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1872-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1874-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1875-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1876-01-03 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1877-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1880-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1881-01-03 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1882-01-02 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1883-01-01 04:17:12,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1885-01-01 04:21:10,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1886-01-01 04:21:10,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1887-01-03 04:21:10,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1888-01-02 04:21:10,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1891-01-01 04:21:10,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1892-01-01 04:21:10,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1893-01-02 04:21:10,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1894-01-01 04:21:10,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1897-01-01 04:21:10,TVC:GOLD,20.71,20.71,20.71,20.71,0.0
1898-01-03 04:21:10,TVC:GOLD,20.71,20.71,20.71,20.71,0.0
1899-01-02 04:21:10,TVC:GOLD,20.66,20.66,20.66,20.66,0.0
1900-01-01 04:21:10,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1903-01-01 04:21:10,TVC:GOLD,20.67,20.67,20.67,20.67,0.0
1904-01-01 04:21:10,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1905-01-02 04:21:10,TVC:GOLD,20.54,20.54,20.54,20.54,0.0
1906-01-01 04:30:00,TVC:GOLD,20.62,20.62,20.62,20.62,0.0
1909-01-01 04:30:00,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1910-01-03 04:30:00,TVC:GOLD,20.64,20.64,20.64,20.64,0.0
1911-01-02 04:30:00,TVC:GOLD,20.64,20.64,20.64,20.64,0.0
1912-01-01 04:30:00,TVC:GOLD,20.65,20.65,20.65,20.65,0.0
1914-01-01 04:30:00,TVC:GOLD,20.72,20.72,20.72,20.72,0.0
1915-01-01 04:30:00,TVC:GOLD,20.72,20.72,20.72,20.72,0.0
1916-01-03 04:30:00,TVC:GOLD,20.72,20.72,20.72,20.72,0.0
1917-01-01 04:30:00,TVC:GOLD,20.72,20.72,20.72,20.72,0.0
1920-01-01 04:30:00,TVC:GOLD,20.68,20.68,20.68,20.68,0.0
1921-01-03 04:30:00,TVC:GOLD,20.69,20.69,20.58,20.58,0.0
1921-02-01 04:30:00,TVC:GOLD,20.69,20.69,20.69,20.69,0.0
