Date,Close,High,Low,Open,Volume
2024-03-11,22023.349609375,22526.599609375,21905.650390625,22517.5,2158600
2024-03-18,22096.75,22180.69921875,21710.19921875,21990.099609375,1754800
2024-03-25,22326.900390625,22516.0,21947.55078125,21947.900390625,1148000
2024-04-01,22513.69921875,22619.0,22303.80078125,22455.0,1242300
2024-04-08,22519.400390625,22775.69921875,22503.75,22578.349609375,1094000
2024-04-15,22147.0,22427.44921875,21777.650390625,22339.05078125,1492200
2024-04-22,22419.94921875,22625.94921875,22198.150390625,22336.900390625,1551600
2024-04-29,22475.849609375,22794.69921875,22348.05078125,22475.55078125,1537900
2024-05-06,22055.19921875,22588.80078125,21932.400390625,22561.599609375,1492600
2024-05-13,22466.099609375,22502.150390625,21821.05078125,22027.94921875,1351900
2024-05-20,22957.099609375,23026.400390625,22404.55078125,22404.55078125,1269600
2024-05-27,22530.69921875,23110.80078125,22417.0,23038.94921875,1693300
2024-06-03,23290.150390625,23338.69921875,21281.44921875,23337.900390625,3168000
2024-06-10,23465.599609375,23490.400390625,23206.650390625,23319.150390625,1396600
2024-06-17,23501.099609375,23667.099609375,23398.19921875,23570.80078125,1491200
2024-06-24,24010.599609375,24174.0,23350.0,23382.30078125,1695300
2024-07-01,24323.849609375,24401.0,23992.69921875,23992.94921875,549600
2024-07-08,24502.150390625,24592.19921875,24141.80078125,24329.44921875,1441300
2024-07-15,24530.900390625,24854.80078125,24504.44921875,24587.599609375,1283300
2024-07-22,24834.849609375,24861.150390625,24074.19921875,24445.75,1902800
2024-07-29,24717.69921875,25078.30078125,24686.849609375,24943.30078125,1849900
2024-08-05,24367.5,24419.75,23893.69921875,24302.849609375,1643900
2024-08-12,24541.150390625,24563.900390625,24099.69921875,24320.05078125,1094500
2024-08-19,24823.150390625,24867.349609375,24522.94921875,24636.349609375,1166100
2024-08-26,25235.900390625,25268.349609375,24874.69921875,24906.099609375,1646200
2024-09-02,24852.150390625,25333.650390625,24801.30078125,25333.599609375,1222600
2024-09-09,25356.5,25433.349609375,24753.150390625,24823.400390625,1415800
2024-09-16,25790.94921875,25849.25,25285.55078125,25406.650390625,1448000
2024-09-23,26178.94921875,26277.349609375,25847.349609375,25872.55078125,1733000
2024-09-30,25014.599609375,26134.69921875,24966.80078125,26061.30078125,1388800
2024-10-07,24964.25,25234.05078125,24694.349609375,25084.099609375,1470000
2024-10-14,24854.05078125,25212.05078125,24567.650390625,25023.44921875,1234100
2024-10-21,24180.80078125,24978.30078125,24073.900390625,24956.150390625,1395400
2024-10-28,24304.349609375,24498.19921875,24134.900390625,24251.099609375,1221600
2024-11-04,24148.19921875,24537.599609375,23816.150390625,24315.75,1547000
2024-11-11,23532.69921875,24336.80078125,23484.150390625,24087.25,1091500
2024-11-18,23907.25,23956.099609375,23263.150390625,23605.30078125,1348700
2024-11-25,24131.099609375,24354.55078125,23873.349609375,24253.55078125,1861700
2024-12-02,24677.80078125,24857.75,24008.650390625,24140.849609375,1496100
2024-12-09,24768.30078125,24792.30078125,24180.80078125,24633.900390625,1272600
2024-12-16,23587.5,24781.25,23537.349609375,24753.400390625,1401600
2024-12-23,23813.400390625,23938.849609375,23647.19921875,23738.19921875,722000
2024-12-30,24004.75,24226.69921875,23460.44921875,23796.900390625,1308900
2025-01-06,23431.5,24089.94921875,23344.349609375,24045.80078125,1337000
2025-01-13,23203.19921875,23391.650390625,23047.25,23195.400390625,1428000
2025-01-20,23092.19921875,23426.30078125,22976.849609375,23290.400390625,1430300
2025-01-27,23482.150390625,23632.44921875,22786.900390625,22940.150390625,1793400
2025-02-03,23559.94921875,23807.30078125,23222.0,23319.349609375,1648500
2025-02-10,22929.25,23568.599609375,22774.849609375,23543.80078125,1302100
2025-02-17,22795.900390625,23049.94921875,22720.30078125,22809.900390625,1108600
2025-02-24,22124.69921875,22668.05078125,22104.849609375,22609.349609375,1305100
2025-03-03,22552.5,22633.80078125,21964.599609375,22194.55078125,1503500
2025-03-10,22397.19921875,22676.75,22314.69921875,22521.849609375,1299000
